sample_name,sample_height,sample_facies,sample_features,d13c_carb,d18o_carb
C13_96_1_ICT_1,96.1,pink crystalline limestone,,-11.88488388,-14.74362278
C13_96_1_ICT_2,96.1,pink crystalline limestone,,-11.88823128,-14.84120369
C13_96_1_ICT_3,96.1,pink crystalline limestone,,-11.99850464,-15.00161839
C13_96_1_ICT_4,96.1,pink crystalline limestone,,-11.78652382,-14.79445553
C13_96_1_ICT_5,96.1,pink crystalline limestone,,-11.86640549,-14.78552914
C13_96_1_ICT_6,96.1,pink crystalline limestone,,-11.90627098,-15.01057339
C13_96_1_ICT_7,96.1,pink crystalline limestone,,-11.33031273,-15.34960938
C13_96_1_ICT_8,96.1,pink crystalline limestone,,-11.82700539,-15.31633472
C13_96_1_ICT_9,96.1,pink crystalline limestone,,-11.83416367,-15.0472393
C13_96_1_ICT_10,96.1,pink crystalline limestone,,-11.88610649,-14.86696148
C13_96_1_ICT_11,96.1,pink crystalline limestone,,-11.75879478,-14.78356361
C13_96_1_ICT_13,96.1,pink crystalline limestone,,-11.83846664,-14.60101414
C13_96_1_ICT_14,96.1,pink crystalline limestone,,-11.88736725,-14.66454887
C13_96_1_ICT_15,96.1,pink crystalline limestone,,-11.78276634,-14.6931448
C13_96_1_ICT_16,96.1,pink crystalline limestone,,-12.17577744,-14.93929672
C13_96_1_ICT_17,96.1,pink crystalline limestone,,-12.10614777,-14.95783329
C13_96_1_ICT_19,96.1,pink crystalline limestone,,-12.09652233,-15.08086109
C13_96_1_ICT_20,96.1,pink crystalline limestone,,-12.03234768,-15.15727043
C13_96_1_ICT_21,96.1,pink crystalline limestone,,-11.88102055,-14.85679817
C13_96_1_ICT_22,96.1,pink crystalline limestone,,-11.79002571,-14.79175282
C13_96_1_ICT_24,96.1,pink crystalline limestone,,-11.75750542,-14.82993126
C13_96_1_ICT_25,96.1,pink crystalline limestone,,-12.00407791,-14.95490456
C13_96_1_ICT_26,96.1,pink crystalline limestone,,-11.826437,-14.65665531
C13_96_1_ICT_27,96.1,pink crystalline limestone,,-11.81405067,-14.69598007
C13_96_1_ICT_28,96.1,pink crystalline limestone,,-11.8532753,-14.67924213
C13_96_1_ICT_29,96.1,pink crystalline limestone,,-11.86930084,-14.56239033
C13_96_1_ICT_30,96.1,pink crystalline limestone,,-11.89069653,-14.66109657
C13_96_1_ICT_31,96.1,pink crystalline limestone,,-11.6909771,-14.56945133
C13_96_1_ICT_32,96.1,pink crystalline limestone,,-11.79991913,-14.84389114
C13_96_1_ICT_34,96.1,pink crystalline limestone,,-11.87918282,-14.72173977
C13_96_1_ICT_35,96.1,pink crystalline limestone,,-11.70059586,-14.81725311
C13_96_1_ICT_36,96.1,pink crystalline limestone,,-11.90451431,-14.62968445
C13_96_1_ICT_37,96.1,pink crystalline limestone,,-11.71643448,-14.69012165
C13_96_1_ICT_38,96.1,pink crystalline limestone,,-11.9810791,-14.59231472
C13_96_1_ICT_39,96.1,pink crystalline limestone,,-11.62565231,-14.7851305
C13_96_1_ICT_40,96.1,pink crystalline limestone,,-11.72949028,-14.69036674
C13_96_1_ICT_41,96.1,pink crystalline limestone,,-11.84962845,-14.6844902
C13_96_1_ICT_42,96.1,pink crystalline limestone,,-11.76944923,-14.76650429
C13_96_1_ICT_43,96.1,pink crystalline limestone,,-11.81445694,-14.85115051
C13_96_1_ICT_44,96.1,pink crystalline limestone,,-11.96297264,-14.80819511
C13_96_1_ICT_45,96.1,pink crystalline limestone,,-11.6753788,-14.80783749
C13_96_1_ICT_46,96.1,pink crystalline limestone,,-11.91145325,-14.70748329
C13_96_1_ICT_47,96.1,pink crystalline limestone,,-11.88566017,-14.66156197
C13_96_1_ICT_48,96.1,pink crystalline limestone,,-11.79123306,-14.63923836
C13_96_1_ICT_49,96.1,pink crystalline limestone,,-11.91218376,-14.7888422
C13_96_1_ICT_50,96.1,pink crystalline limestone,,-11.85808945,-14.84459114
C13_96_1_ICT_51,96.1,pink crystalline limestone,,-11.83545208,-14.70807552
C13_96_1_ICT_52,96.1,pink crystalline limestone,,-12.24122238,-14.93891048
C13_96_1_ICT_53,96.1,pink crystalline limestone,,-11.89070988,-14.71405029
C13_96_1_ICT_54,96.1,pink crystalline limestone,,-12.01210594,-14.78688622
C13_96.1_ICT_55,96.1,pink crystalline limestone,,-11.75870323,-14.62055492
C13_96.1_ICT_56,96.1,pink crystalline limestone,,-11.88617897,-14.57588005
C13_96.1_ICT_57,96.1,pink crystalline limestone,,-11.689291,-14.58351135
C13_96.1_ICT_58,96.1,pink crystalline limestone,,-11.7952013,-14.54134369
C13_96.1_ICT_59,96.1,pink crystalline limestone,,-11.86368179,-14.591012
C13_96.1_ICT_60,96.1,pink crystalline limestone,,-11.89625168,-14.41326046
C13_96.1_ICT_61,96.1,pink crystalline limestone,,-11.7754097,-14.46017075
