sample_name,sample_height,sample_facies,sample_features,length_cm,width_cm,colour,d13c_carb,d18o_carb
C14_ICT_1,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.348773956,-14.02814007
C14_ICT_2,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.642297745,-14.62017727
C14_ICT_3,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.455600739,-14.57555103
C14_ICT_4,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.726102829,-14.78213024
C14_ICT_5,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.240211487,-14.74844646
C14_ICT_6,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.193060875,-15.04854298
C14_ICT_7,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.093318939,-14.72951126
C14_ICT_8,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.838807106,-14.88265324
C14_ICT_9,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.658866882,-15.07843113
C14_ICT_10,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.082735062,-15.0911932
C14_ICT_11,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.094814301,-15.18694878
C14_ICT_12,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.926183701,-15.2004118
C14_ICT_13,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.001516342,-14.88843632
C14_ICT_14,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.852479935,-15.51410866
C14_ICT_15,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.706830978,-14.59392738
C14_ICT_16,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.406482697,-14.91242027
C14_ICT_17,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.903194427,-14.92641068
C14_ICT_18,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.255814552,-14.6124649
C14_ICT_19,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.069300652,-14.95422459
C14_ICT_20,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.739442825,-14.78804016
C14_ICT_21,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.923200607,-14.84690094
C14_ICT_22,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.446586609,-14.84358311
C14_ICT_23,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.063597679,-15.13981247
C14_ICT_24,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.938835144,-15.04065132
C14_ICT_25,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.93303299,-14.81997776
C14_ICT_26,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.860841751,-14.98103142
C14_ICT_28,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.343164444,-15.11176109
C14_ICT_29,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.508271217,-15.05363369
C14_ICT_30,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.059859276,-14.71799278
C14_ICT_31,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.689289093,-14.85069084
C14_ICT_32,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.891202927,-15.0202837
C14_ICT_33,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.935328484,-14.83377266
C14_ICT_34,NA,green laminated crystalline limestone,,NA,NA,NA,-9.681304932,-15.02056026
C14_ICT_35,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.868854523,-15.23179054
C14_ICT_37,NA,green laminated crystalline limestone,,NA,NA,NA,-9.408073425,-15.50627041
C14_ICT_38,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.462108612,-14.99281406
C14_ICT_39,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.987512589,-15.0040884
C14_ICT_40,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.692684174,-15.38380909
C14_ICT_41,NA,pink laminated crystalline limestone,,NA,NA,NA,-9.557603836,-15.13960361
C14_ICT_42,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.817302704,-15.33743382
C14_ICT_43,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.984712601,-14.97099495
C14_ICT_44,NA,pink laminated crystalline limestone,,NA,NA,NA,-10.29713821,-15.07808113
C14_ICT_45,NA,pink laminated crystalline limestone,,NA,NA,NA,-8.486997604,-15.14663601
