sample_name,sample_height,sample_facies,sample_features,length_cm,width_cm,colour,d13c_carb,d18o_carb
C1_171_ICT_1,171,ls mudstone,,15,2,grey,-4.322120667,-15.89003754
C1_171_ICT_2,171,ls mudstone,,9,1,grey,-7.246734619,-16.21537209
C1_171_ICT_3,171,ls mudstone,,17,1,grey,-6.902132034,-15.87675667
C1_171_ICT_4,171,ls mudstone,,6,1,grey,-7.776185989,-15.88196659
C1_171_ICT_5,171,ls mudstone,,4,1.5,grey,-2.542327642,-15.9187355
C1_171_ICT_6,171,ls mudstone,,14,4,grey,-3.968276978,-15.91246319
C1_171_ICT_7,171,ls mudstone,,8,2,grey,-3.526000738,-15.92369747
C1_171_ICT_8,171,ls mudstone,,7,2.5,grey,-0.643455029,-15.92560196
C1_171_ICT_9,171,ls mudstone,,8,1,grey,-2.849727154,-15.63806152
C1_171_ICT_10,171,ls mudstone,,18,1,grey,-4.667333603,-15.86485291
C1_171_ICT_11,171,ls mudstone,,4.5,1,grey,-4.270637989,-16.16462135
C1_171_ICT_12,171,ls mudstone,,10,1,grey,-4.207273483,-15.76506424
C1_171_ICT_13,171,ls mudstone,,5,1,grey,-3.627268553,-15.820364
C1_171_ICT_14,171,ls mudstone,,3.5,1.5,grey,-2.537815571,-15.89345169
C1_171_ICT_15,171,ls mudstone,,5.5,1,grey,-1.315450668,-16.07713509
C1_171_ICT_16,171,ls mudstone,,11,1.5,grey,-1.847121477,-15.83455276
C1_171_ICT_17,171,ls mudstone,,9,2,grey,-2.147827864,-15.09014034
C1_171_ICT_18,171,ls mudstone,,4,0.5,grey,-1.46222496,-15.7971096
C1_171_ICT_19,171,ls mudstone,,8.5,1.5,grey,-2.03006196,-15.11820984
C1_171_ICT_20,171,ls mudstone,,7,2,grey,-2.680128813,-15.81514549
C1_171_ICT_21,171,ls mudstone,,12,1.5,grey,-4.851541519,-15.75954437
C1_171_ICT_22,171,ls mudstone,,5,2,grey,-0.71005249,-15.35795403
C1_171_ICT_23,171,ls mudstone,,16,2,grey,-5.165701866,-15.86064148
C1_171_ICT_24,171,ls mudstone,,10,1,grey,-1.284795284,-15.66070175
C1_171_ICT_25,171,ls mudstone,,12,1,grey,-2.377814531,-15.83648491
C1_171_ICT_26,171,ls mudstone,,8,2,grey,-0.810738564,-15.61494827
C1_171_ICT_27,171,ls mudstone,,13,1,grey,-6.385059834,-15.98455811
C1_171_ICT_28,171,ls mudstone,,9,1,grey,-2.723268509,-15.86771393
C1_171_ICT_29,171,ls mudstone,,18,2.5,grey,0.790443897,-14.1596365
C1_171_ICT_30,171,ls mudstone,,5,1,grey,-2.419698238,-15.90999889
C1_171_ICT_31,171,ls mudstone,,11,1.5,grey,-2.517831087,-15.56280136
C1_171_ICT_32,171,ls mudstone,,26,3,grey,-2.512194157,-14.94139671
C1_171_ICT_33,171,ls mudstone,,6,2,grey,-5.305745602,-15.53779984
C1_171_ICT_34,171,ls mudstone,,3,2.5,grey,-2.595353603,-15.456707
C1_171_ICT_35,171,ls mudstone,,10,1.5,grey,-0.795685768,-15.62471008
C1_190.5_ICT_1,190.5,ls mudstone,,8,4,grey,-1.193973064,-15.80351639
C1_190.5_ICT_2,190.5,ls mudstone,,17,2,grey,-6.170456886,-15.66965103
C1_190.5_ICT_3,190.5,ls mudstone,,23,2,grey,-5.415055752,-15.75400162
C1_190.5_ICT_4,190.5,ls mudstone,,8,2.5,grey,-0.728946686,-15.68718719
C1_190.5_ICT_5,190.5,ls mudstone,,9,1,grey,-7.959246635,-15.82437325
C1_190.5_ICT_6,190.5,ls mudstone,,15,3,grey,-1.137181282,-15.55620003
C1_190.5_ICT_7,190.5,ls mudstone,,5,1.5,grey,-1.572780132,-15.70087242
C1_190.5_ICT_8,190.5,ls mudstone,,7,1,grey,-1.134305477,-15.62856102
C1_190.5_ICT_9,190.5,ls mudstone,,12,0.5,grey,-3.108092785,-15.58849144
C1_190.5_ICT_10,190.5,sandy grainstone,,12,2,grey,-4.576723576,-15.74267387
