sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,d13c_carb,d18o_carb
C12_5.6_ICT_1,5.6,dolostone,,NA,NA,-9.309394836,-11.64889336
C12_5.6_ICT_2,5.6,dolostone,,NA,NA,-10.49219894,-10.88046741
C12_5.6_ICT_3,5.6,dolostone,,NA,NA,-9.68488884,-11.69941235
C12_5.6_ICT_4,5.6,dolostone,,NA,NA,-9.885685921,-11.0183115
C12_5.6_ICT_5,5.6,dolostone,,NA,NA,-9.533220291,-11.3757534
C12_5.6_ICT_6,5.6,dolostone,,NA,NA,-9.862098694,-11.29968262
C12_5.6_ICT_7,5.6,dolostone,,NA,NA,-8.908089638,-11.66450691
C12_5.6_ICT_8,5.6,dolostone,,NA,NA,-10.21995354,-10.91721344
C12_5.6_ICT_9,5.6,dolostone,,NA,NA,-7.105571747,-8.014245987
C12_5.6_ICT_10,5.6,dolostone,,NA,NA,-10.0907383,-11.63936329
C12_5.6_ICT_11,5.6,dolostone,,NA,NA,-9.834056854,-11.49101734
C12_5.6_ICT_12,5.6,dolostone,,NA,NA,-9.401304245,-11.95186806
C12_5.6_ICT_13,5.6,dolostone,,NA,NA,-10.32590675,-10.64573288
C12_5.6_ICT_14,5.6,dolostone,,NA,NA,-9.087924004,-12.30061245
C12_5.6_ICT_15,5.6,dolostone,,NA,NA,-9.481122971,-12.66583347
C12_5.6_ICT_16,5.6,dolostone,,NA,NA,-9.876079559,-11.91177845
C12_5.6_ICT_17,5.6,dolostone,,NA,NA,-8.718800545,-12.03236485
C12_5.6_ICT_18,5.6,dolostone,,NA,NA,-10.40757656,-11.77446175
C12_5.6_ICT_19,5.6,dolostone,,NA,NA,-9.660661697,-11.77504921
C12_5.6_ICT_20,5.6,dolostone,,NA,NA,-10.2258873,-11.64845276
C12_5.6_ICT_21,5.6,dolostone,,NA,NA,-9.046142578,-13.48338795
C12_5.6_ICT_22,5.6,dolostone,,NA,NA,-9.801198959,-11.56444645
C12_5.6_ICT_23,5.6,dolostone,,NA,NA,-10.27147865,-11.29872704
C12_5.6_ICT_24,5.6,dolostone,,NA,NA,-10.35284615,-11.37290192
C12_5.6_ICT_25,5.6,dolostone,,NA,NA,-9.669401169,-11.5822382
C12_5.6_ICT_26,5.6,dolostone,,NA,NA,-8.147435188,-12.41636276
C12_5.6_ICT_27,5.6,dolostone,,NA,NA,-10.05774498,-11.53036594
C12_5.6_ICT_28,5.6,dolostone,,NA,NA,-8.303295135,-11.52767944
C12_5.6_ICT_29,5.6,dolostone,,NA,NA,-10.36664963,-11.0442524
C12_5.6_ICT_30,5.6,dolostone,,NA,NA,-9.52422905,-12.02832699
C12_5.6_ICT_31,5.6,dolostone,,NA,NA,-10.62072563,-11.01299763
C12_5.6_ICT_32,5.6,dolostone,,NA,NA,-10.64975929,-11.2386322
C12_5.6_ICT_33,5.6,dolostone,,NA,NA,-10.10931778,-8.012815475
C12_5.6_ICT_34,5.6,dolostone,,NA,NA,-9.577118874,-11.52682018
C12_5.6_ICT_35,5.6,dolostone,,NA,NA,-9.443351746,-11.97521114
C12_5.6_ICT_36,5.6,dolostone,,NA,NA,-10.2965889,-11.50068092
C12_5.6_ICT_37,5.6,dolostone,,NA,NA,-9.258785248,-11.8653965
C12_5.6_ICT_38,5.6,dolostone,,NA,NA,-9.207598686,-11.83001804
C12_5.6_ICT_39,5.6,dolostone,,NA,NA,-10.14403915,-11.39277649
C12_5.6_ICT_40,5.6,dolostone,,NA,NA,-9.455266953,-12.21127129
C12_8.6_ICT_1,8.6,dolostone,,NA,NA,-10.60246658,-11.43798923
C12_8.6_ICT_2,8.6,dolostone,,NA,NA,-11.10736656,-10.93969631
C12_8.6_ICT_3,8.6,dolostone,,NA,NA,-8.866458893,-11.62655067
C12_8.6_ICT_4,8.6,dolostone,,NA,NA,-9.793198586,-11.70900726
C12_8.6_ICT_5,8.6,dolostone,,NA,NA,-9.571931839,-11.6150322
C12_8.6_ICT_6,8.6,dolostone,,NA,NA,-9.95403862,-11.67818356
C12_8.6_ICT_7,8.6,dolostone,,NA,NA,-10.35890007,-11.54586506
C12_8.6_ICT_8,8.6,dolostone,,NA,NA,-9.496154785,-11.40193748
C12_8.6_ICT_9,8.6,dolostone,,NA,NA,-9.537658691,-12.57666016
C12_8.6_ICT_10,8.6,dolostone,,NA,NA,-9.447629929,-11.11203766
C12_8.6_ICT_11,8.6,dolostone,,NA,NA,-10.33435345,-11.255126
C12_8.6_ICT_12,8.6,dolostone,,NA,NA,-10.12566853,-11.76018906
C12_8.6_ICT_13,8.6,dolostone,,NA,NA,-10.37663841,-11.61801052
C12_8.6_ICT_14,8.6,dolostone,,NA,NA,-9.913434029,-11.58710575
C12_8.6_ICT_15,8.6,dolostone,,NA,NA,-10.57940865,-11.16019154
C12_8.6_ICT_16,8.6,dolostone,,NA,NA,-10.00036907,-11.45189095
C12_8.6_ICT_17,8.6,dolostone,,NA,NA,-9.760247231,-11.87614632
