sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,min_drildist_from_matrix_mm,d13c_carb,d18o_carb
C16_105.1_ICT_1,105.1,sandy limestone,,14,3,NaN,-7.923959732,-18.24822235
C16_105.1_ICT_2,105.1,sandy limestone,,11,3,NaN,-6.275611877,-23.10116005
C16_105.1_ICT_3,105.1,sandy limestone,,6,1,NaN,-4.891490936,-18.83184052
C16_105.1_ICT_4,105.1,grey crystalline limestone,,6,3,NaN,-8.339035988,-18.00128937
C16_105.1_ICT_5,105.1,silty limestone,,5,1,0.5,-2.628957987,-17.9013195
C16_105.1_ICT_6,105.1,silty laminated limestone,,4,1,1,-8.025422096,-17.933218
C16_105.1_ICT_7,105.1,sand rimmed limestone,,3,2,2,-9.635555267,-17.77723122
C16_105.1_ICT_8,105.1,sandy laminated limestone,,7,0.5,1,-1.478481531,-17.46487045
C16_105.1_ICT_9,105.1,sandy limestone,,8,2,NaN,-7.264966965,-18.12380409
C16_105.1_ICT_10,105.1,limestone cemented sandstone,,8,4,3,-9.124759674,-18.12849236
C16_105.1_ICT_11,105.1,sandy limestone,,6,2,0.5,-5.370222569,-17.9660759
C16_105.1_ICT_12,105.1,grey crystalline limestone,,10,2,NaN,-6.440226078,-17.84298706
C16_105.1_ICT_13,105.1,grey crystalline limestone,,6,2.5,NaN,-7.966948986,-17.98994827
C16_105.1_ICT_14,105.1,grey crystalline limestone,,5,4,NaN,-7.928314209,-18.07890129
C16_105.1_ICT_15,105.1,sand interbedded grey crystalline limestone,,5,3,1,-7.753964901,-18.18263054
C16_105.1_ICT_16,105.1,grey crystalline limestone,,11,4,NaN,-6.131771088,-17.56522369
C16_105.1_ICT_17,105.1,grey crystalline limestone,,16,3,NaN,-5.654724121,-18.47812653
C16_105.1_ICT_18,105.1,grey crystalline limestone,,16,6,3,-6.39257431,-17.85102654
C16_105.1_ICT_19,105.1,grey crystalline limestone,,3,2,NaN,-8.262932777,-17.91918945
C16_105.1_ICT_20,105.1,tan crystalline limestone,,10,4,1,-8.61489296,-17.82253265
C16_105.1_ICT_21,105.1,grey crystalline limestone,,2,1,0.5,-7.376056671,-18.55351448
C16_105.1_ICT_22,105.1,grey crystalline limestone,,4,1,2,-8.581840515,-17.97161484
C16_105.1_ICT_23,105.1,tan crystalline limestone,,3,2,0,-8.44446373,-17.70489502
C16_105.1_ICT_24,105.1,sandy limestone,,5,3,4,1.790233612,-18.10426712
C16_105.1_ICT_25,105.1,sandy limestone,,8,2,NaN,-7.320744514,-20.71597862
C16_105.1_ICT_26,105.1,sandy limestone,,4,2,1,-1.746644497,-18.2226963
C16_105.1_ICT_27,105.1,sandy limestone,,3,1,1,-6.747018337,-21.27373505
C16_105.1_ICT_28,105.1,grey crystalline limestone,,2,1,0.5,-6.17075491,-23.47481155
C16_105.1_ICT_29,105.1,sandy grey crystalline limestone,,7,1.5,3,-6.074043274,-23.52236557
C16_105.1_ICT_30,105.1,sandy grey crystalline limestone,,4,1.5,0.5,-6.335037231,-23.54651833
C16_105.1_ICT_31,105.1,sandy grey crystalline limestone,,5,3,2,-3.971299887,-19.77674484
C16_105.1_ICT_32,105.1,sandy grey crystalline limestone,,7,1,7,-6.246683121,-22.59384155
C16_105.1_ICT_33,105.1,sandy grey crystalline limestone,,6.5,1.5,1,-7.491015434,-18.9361515
C16_105.1_ICT_34,105.1,sandy grey crystalline limestone,,1,1,NaN,-5.840836048,-22.93846893
