sample_name,id,sample_height,sample_facies,sample_features,length_cm,width_cm,colour,d13c_carb,d18o_carb
C6_ICT_1,ICT,NA,pink laminated crystalline limestone,microbialite?,10,0.8,tan,-12.28014946,-14.52159309
C6_ICT_2,ICT,NA,pink laminated crystalline limestone,microbialite?,6.7,1.3,tan,-13.2105999,-14.49650955
C6_ICT_3,ICT,NA,pink laminated crystalline limestone,microbialite?,97,7.5,tan,-12.36383438,-14.54422951
C6_ICT_4,ICT,NA,pink laminated crystalline limestone,microbialite?,19,13.5,tan,-11.50973988,-14.58079243
C6_ICT_5,ICT,NA,pink laminated crystalline limestone,microbialite?,27,12,tan,-11.64058495,-14.43667793
C6_ICT_6,ICT,NA,grey laminated crystalline limestone,microbialite?,51,4.5,tan,-11.36434174,-14.59708405
C6_ICT_7,ICT,NA,pink laminated crystalline limestone,microbialite?,16.5,10,tan,-12.51442719,-14.5198946
C6_ICT_8,ICT,NA,pink laminated crystalline limestone,microbialite?,22,8,tan,-12.12349892,-14.60856152
C6_ICT_9,ICT,NA,grey laminated crystalline limestone,microbialite?,32,4,tan,-11.88751221,-14.63180923
C6_ICT_10,ICT,NA,pink laminated crystalline limestone,microbialite?,49,3.5,tan,-11.13568878,-14.55502415
C6_ICT_11,ICT,NA,pink laminated crystalline limestone,microbialite?,13,1.5,tan,-11.36849213,-14.53066826
C6_ICT_12,ICT,NA,pink laminated crystalline limestone,microbialite?,13.5,2.5,tan,-11.08309364,-14.60826588
C6_ICT_13,ICT,NA,grey laminated crystalline limestone,microbialite?,32,5.5,tan,-10.75179863,-14.56573772
C6_ICT_14,ICT,NA,pink laminated crystalline limestone,microbialite?,27,5,tan,-11.0487175,-14.6212759
C6_ICT_15,ICT,NA,pink laminated crystalline limestone,microbialite?,32,2,tan,-10.95543766,-14.52835464
C6_ICT_16,ICT,NA,pink laminated crystalline limestone,microbialite?,28,6,tan,-11.65343761,-14.65033627
C6_ICT_17,ICT,NA,pink laminated crystalline limestone,microbialite?,20,3,tan,-12.08210754,-14.72443676
C6_ICT_18,ICT,NA,grey laminated crystalline limestone,microbialite?,5.5,2,tan,-11.05737114,-14.68519306
C6_ICT_19,ICT,NA,grey laminated crystalline limestone,microbialite?,9.5,6,tan,-11.57351685,-14.66328812
C6_ICT_20,ICT,NA,pink laminated crystalline limestone,microbialite?,33,3,tan,-11.72058868,-14.87646008
C6_ICT_21,ICT,NA,grey laminated crystalline limestone,microbialite?,15,3,tan,-11.58191872,-14.71376324
C6_ICT_22,ICT,NA,grey laminated crystalline limestone,microbialite?,9,2,tan,-11.92523003,-14.64949512
C6_ICT_23,ICT,NA,grey laminated crystalline limestone,microbialite?,16,3,tan,-11.42963219,-14.58243561
C6_ICT_24,ICT,NA,grey laminated crystalline limestone,microbialite?,15,2,tan,-12.50950623,-14.71310616
C6_ICT_25,ICT,NA,grey laminated crystalline limestone,microbialite?,70,3,tan,-12.22543144,-14.50046062
C6_ICT_26,ICT,NA,grey laminated crystalline limestone,microbialite?,42,10,tan,-11.20418072,-14.54181767
C6_ICT_27,ICT,NA,grey laminated crystalline limestone,microbialite?,32,13,tan,-10.91190624,-14.50354671
C6_ICT_28,ICT,NA,grey laminated crystalline limestone,microbialite?,13,6,tan,-11.35776329,-14.53768539
C6_ICT_29,ICT,NA,grey laminated crystalline limestone,microbialite?,27,11,tan,-11.32910347,-14.69453049
C6_ICT_30,ICT,NA,grey laminated crystalline limestone,microbialite?,11,2.5,tan,-11.44675064,-14.69008732
C6_ICT_31,ICT,NA,grey laminated crystalline limestone,microbialite?,57,12,tan,-11.83871651,-14.43549824
C6_ICT_32,ICT,NA,grey laminated crystalline limestone,microbialite?,16,4,tan,-11.38804722,-14.60881615
C6_ICT_33,ICT,NA,grey laminated crystalline limestone,microbialite?,9,2,tan,-11.265728,-14.57759094
C6_ICT_34,ICT,NA,grey laminated crystalline limestone,microbialite?,34,9,tan,-11.75527287,-14.47368622
C6_ICT_35,ICT,NA,grey laminated crystalline limestone,microbialite?,19,7,tan,-11.0727644,-14.54447365
C6_ICT_36,ICT,NA,grey laminated crystalline limestone,microbialite?,43,6,tan,-11.0345459,-14.58159447
C6_ICT_37,ICT,NA,grey laminated crystalline limestone,microbialite?,27,14,tan,-11.65041924,-14.38762188
C6_ICT_38,ICT,NA,grey laminated crystalline limestone,microbialite?,17,5,tan,-10.95006943,-14.48056698
C6_ICT_39,ICT,NA,grey laminated crystalline limestone,microbialite?,10,4,tan,-10.93754768,-14.39863491
C6_ICT_40,ICT,NA,grey laminated crystalline limestone,microbialite?,20,4,tan,-11.32978821,-14.39749908
C6_ICT_41,ICT,NA,grey laminated crystalline limestone,microbialite?,25,4,tan,-11.15207291,-14.31723022
C6_ICT_42,ICT,NA,grey laminated crystalline limestone,microbialite?,22,4,tan,-11.89906025,-14.42987633
C6_ICT_43,ICT,NA,grey laminated crystalline limestone,microbialite?,52,3,tan,-10.95343876,-14.52175045
C6_ICT_44,ICT,NA,grey laminated crystalline limestone,microbialite?,28,3,tan,-11.13371277,-14.55682659
C6_ICT_45,ICT,NA,grey laminated crystalline limestone,microbialite?,71,10,tan,-11.05333805,-14.53389645
C6_ICT_46,ICT,NA,grey laminated crystalline limestone,microbialite?,11,3,tan,-11.21574497,-14.48440933
C6_ICT_47,ICT,NA,grey laminated crystalline limestone,microbialite?,8,2,tan,-11.43062401,-14.61825562
C6_ICT_48,ICT,NA,grey laminated crystalline limestone,microbialite?,55,4,tan,-10.58462715,-14.46568871
C6_ICT_49,ICT,NA,grey laminated crystalline limestone,microbialite?,8,2.5,tan,-10.96398258,-14.50905609
C6_ICT_50,ICT,NA,grey laminated crystalline limestone,microbialite?,7,1.5,tan,-11.99209976,-14.41711903
C6_HS_ICT1A,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.8125248,-14.24953175
C6_HS_ICT1B,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.89536858,-14.39502525
C6_HS_ICT1C,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.86505699,-14.32340908
C6_HS_ICT2,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.11491203,-14.2088232
C6_HS_ICT3,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-10.8988905,-14.26350498
C6_HS_ICT4,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.22772217,-14.54749203
C6_HS_ICT5,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.21107864,-14.49829388
C6_HS_ICT6,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.19793034,-14.51830196
C6_HS_ICT7,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.17842579,-14.61295319
C6_HS_ICT8,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.20895004,-14.65313339
C6_HS_ICT9,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.22305679,-14.60772038
C6_HS_ICT10,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.423172,-14.59556961
C6_HS_ICT11,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-10.98711491,-14.73321342
C6_HS_ICT12,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.00907707,-14.53468704
C6_HS_ICT13,HS,NA,grey laminated crystalline limestone,microbialite?,NA,NA,tan,-11.33260536,-14.42281437
