sample_name,sample_height,sample_facies,sample_features,section,longax_dist_from_right_cm,shortax_dist_from_top_cm,d13c_carb,d18o_carb
C1_169.0_N2,169,ls mudstone,,C1,NA,2.3,-8.322690964,-16.13192749
C1_169.0_N3,169,ls mudstone,,C1,NA,3.5,-7.821190834,-16.06698418
C1_169.0_N4,169,ls mudstone,,C1,NA,4.6,-7.781865597,-16.18251801
C1_169.0_N5,169,ls mudstone,,C1,NA,5.6,-7.721894264,-16.10161209
C1_169.0_N6,169,ls mudstone,,C1,NA,6.75,-7.690672398,-16.11313057
C1_169.0_N7,169,ls mudstone,,C1,NA,7.7,-7.710506916,-16.17066574
C1_169.0_N8,169,ls mudstone,,C1,NA,8.9,-7.753190041,-16.06596565
C1_169.0_N9,169,ls mudstone,,C1,NA,10.25,-7.738733768,-16.126894
C1_169.0_N10,169,ls mudstone,,C1,NA,11.5,-8.328333855,-16.15120888
C1_169.0_N12,169,ls mudstone,,C1,2.7,NA,-9.073454857,-15.97644997
C1_169.0_N13,169,ls mudstone,,C1,3.85,NA,-8.410033226,-16.04718399
C1_169.0_N14,169,ls mudstone,,C1,5.6,NA,-7.851933479,-16.030056
C1_169.0_N15,169,ls mudstone,,C1,7.4,NA,-7.693062782,-15.98553658
C1_169.0_N16,169,ls mudstone,,C1,8.7,NA,-7.672498226,-15.95029831
C1_169.0_N17,169,ls mudstone,,C1,12,NA,-7.803648949,-15.95265007
C1_169.0_N18,169,ls mudstone,,C1,13.4,NA,-7.969982147,-16.02050781
C1_169.0_N19,169,ls mudstone,,C1,14.75,NA,-9.161008835,-16.05591965
C1_170.0_N1,170,ls mudstone,,C1,NA,0.7,-4.98445797,-15.82950211
C1_170.0_N2,170,ls mudstone,,C1,NA,1.65,-7.350829124,-15.96660614
C1_170.0_N3,170,ls mudstone,,C1,NA,2.85,-6.52900219,-15.96811199
C1_170.0_N4,170,ls mudstone,,C1,NA,4.2,-6.359693527,-15.9997921
C1_170.0_N5,170,ls mudstone,,C1,NA,5.3,-6.764705181,-16.05158806
C1_170.0_N6,170,ls mudstone,,C1,NA,6.5,-7.457977772,-15.92483997
C1_170.0_N7,170,ls mudstone,,C1,NA,7.5,-8.074050903,-15.87909412
C1_170.0_N8,170,ls mudstone,,C1,NA,8.6,-8.559272766,-16.01854706
C1_170.0_N9,170,ls mudstone,,C1,NA,9.8,-8.802329063,-15.89826679
C1_170.0_N10,170,ls mudstone,,C1,NA,11,-8.645022392,-15.91814232
C1_170.0_N11,170,ls mudstone,,C1,11.5,NA,-6.909333229,-15.95181084
C1_170.0_N12,170,ls mudstone,,C1,9.8,NA,-6.468078613,-15.87195969
C1_170.0_N13,170,ls mudstone,,C1,5.7,NA,-6.538110733,-15.93648911
C1_170.0_N14,170,ls mudstone,,C1,4,NA,-6.963521004,-15.84373093
C1_170.0_N15,170,ls mudstone,,C1,1,NA,-6.77314806,-15.85121632
