section,clast_id,sample_id,d13c_carb,d18o_carb,notes
C1,1,1a,-3.25500011444092,-15.7653169631958,
C1,1,1b,-3.43897533416748,-15.8510236740112,
C1,1,1c,-3.3294095993042,-15.9400720596313,
C1,1,1d,-3.45238184928894,-15.9755907058716,
C1,1,1e,-3.74468731880188,-15.9944972991943,
C1,1,1f,-3.44723892211914,-15.9864149093628,
C1,1,1g,-3.4072413444519,-16.0751113891602,
C1,2,2a,-0.584648609161377,-15.9275369644165,
C1,2,2b,-0.738425254821777,-15.9323825836182,
C1,2,2c,-0.622572422027588,-15.8837995529175,
C1,3,3a,-5.11571502685547,-15.8546695709229,
C1,3,3b,-5.35847568511963,-15.9115962982178,
C1,3,3c,-5.40944004058838,-16.044189453125,
C1,3,3d,-5.60657405853272,-16.0248947143555,
C1,4,4a,-8.95378494262695,-16.0467185974121,
C1,4,4b,-8.93512916564941,-16.1161270141602,
C1,4,4c,-8.6271858215332,-16.0621204376221,
C1,4,4d,-8.89605712890625,-16.0555305480957,
C1,5,5a,-2.2724027633667,-15.0769109725952,
C1,5,5b,-2.13522887229919,-14.9950590133667,
C1,5,5c,-2.53194451332092,-15.5347843170166,
C1,5,5d,-2.53843021392822,-15.4928722381592,
C1,6,6a,-0.078339576721191,-15.8055295944214,
C1,6,6b,-0.184117317199707,-15.7704372406006,
C1,6,6c,0.009939193725586,-15.6875762939453,
C1,6,6d,-1.07633519172668,-15.6216859817505,"knicked a small dolostone clast, more negative because of this"
C1,7,7a,-0.108355045318604,-15.9268827438354,
C1,7,7b,-0.174850940704346,-15.8009452819824,
C1,7,7c,-0.328544139862061,-15.8459844589233,
