Ca in NRCC SLRS-5 (),,,,,,,,,,,,,
less/more,Value,Unit,Origin,Uncertainty,Uncertainty Type,Method,Analyses-Comment,Institution,Comment,Last Name,First Name,Year,GeoReM-Id
,0.0101,µg/l,measured,0.001,SD,ICPAES,,Technische Universität Braunschweig,,Baptista-Salazar,C.,2017,GeoReM 10311
,10.53,µg/g,measured,0.15,SD,ICPAES,,GeoForschungsZentrum Potsdam (GFZ),,Uhlig,D.,2017,GeoReM 10721
,10.9,µg/g,measured,0.24,SD,ICPMS,with FDC (%),Okayama University,,Hoang,Que D.,2019,GeoReM 11187
,10.8,µg/g,measured,0.25,SD,ICPMS,without FDC (%),Okayama University,,Hoang,Que D.,2019,GeoReM 11187
,10341,µg/l,compiled,509,UNCERT,ICPMS,compiled values interlaboratory,,,Yeghicheyan,D.,2019,GeoReM 11378
,10598,µg/l,measured,395,UNCERT,ICPMS,,Université Paul Sabatier,,Yeghicheyan,D.,2019,GeoReM 11378
,10258,µg/l,measured,131,UNCERT,ICPMS,,Service d´Analyse des Roches et des Mineraux (SARM),,Yeghicheyan,D.,2019,GeoReM 11378
,10259,µg/l,measured,248,UNCERT,ICPMS,,Université de Toulouse,,Yeghicheyan,D.,2019,GeoReM 11378
,10.5,µg/g,compiled,0.4,95%CL,,,National Research Council of Canada (NRCC),,Mester,Z.,2009,GeoReM 5277
,10241,µg/l,measured,266,SD,ICPMS,,Université de Rennes,,Yeghicheyan,D.,2013,GeoReM 7065
,10166,µg/l,measured,523,SD,ICPMS,,Université de Montpellier I et II,,Yeghicheyan,D.,2013,GeoReM 7065
,9925,µg/l,measured,331,SD,ICPMS,,Université de Montpellier II & CNRS,,Yeghicheyan,D.,2013,GeoReM 7065
,10450,µg/l,measured,901,SD,ICPMS,,Université Paul Sabatier,,Yeghicheyan,D.,2013,GeoReM 7065
,10445,µg/l,measured,475,SD,ICPMS,,Université de Toulouse,,Yeghicheyan,D.,2013,GeoReM 7065
,10500,µg/l,measured,476,SD,ICPMS,,Centre de Recherches Petrographiques et Geochimiques (CRPG),,Yeghicheyan,D.,2013,GeoReM 7065
,10320,µg/l,compiled,1185,95%CL,ICPMS,,,,Yeghicheyan,D.,2013,GeoReM 7065
,0.0103,µg/g,measured,0.00006,SD,TIMS,,Imperial College London,,Crocket,K.C.,2014,GeoReM 8372
,10300,µg/l,measured,13.9,RSD(%),ICPMS,,University of Maryland,,Liu,Xiao-Ming,2015,GeoReM 8581
,,,,,,,,,,,,,
Download from GeoReM - the Reference Material Database,,,,,,,,,,,,,
Date of Query: Oct 24. 2023,,,,,,,,,,,,,
