run_no,sample_simple,sample_name,member,type,loc,facies,features,thin_section,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa
2,CV110,C1_138.5,TLM,section,gsm_type_sec,dolostone,,,-11.13208008,-14.97642803,80.26491355,18.59357833,696.6716174,1.52009723,12.84834302,0.673146685,33.8485358,80.71242935,3.399844793,0.87873449,0.117421269,0.178230205
2,CV111,C1_141.5,TLM,section,gsm_type_sec,dolostone,,,-10.82213211,-14.51097012,24.85517825,16.63243841,696.7977686,1.434306142,5.501481703,0.714541227,31.87843315,161.0768763,1.468020603,0.842175234,0.133346845,0.246009756
2,CV112,C1_142.3,TLM,section,gsm_type_sec,dolostone,,y,-10.79892349,-14.85731697,49.05622212,24.78479689,699.2967065,1.565565859,9.862716865,0.540041037,32.13696418,77.65106337,2.631018441,0.852323885,0.150735006,0.392867603
2,CV113,C1_142.8,TLM,section,gsm_type_sec,dolostone,,y,-10.95125675,-14.6684618,30.62320392,18.31528759,692.7731209,1.488263177,6.790428542,0.076142965,31.93918979,166.870286,1.85660891,0.848947036,0.088889011,0.169167525
2,CV114,C1_143.6,TLM,section,gsm_type_sec,dolostone,,,-11.20570087,-14.8111763,41.33126443,8.443377808,545.5145107,0.506428498,8.555431429,0.161026015,25.61582767,108.5847984,2.259736255,0.807199757,0.04365146,0.150670792
2,CV115,C1_144.2,TLM,section,gsm_type_sec,dolostone,,y,-11.04202271,-15.07362175,23.08269507,11.27274519,423.8333885,0.268084387,2.715576471,0.267820381,21.79345204,47.37529602,0.735109514,0.821883725,0.058658372,0.741949905
2,CV116,C1_147.9,TLM,section,gsm_type_sec,dolostone,,,-10.86657715,-14.93898678,28.34249042,5.223576772,342.2293533,0.476651799,3.965440522,0.14607583,15.33893833,61.09082777,1.019381385,0.846897951,0.201867185,0.248349726
2,CV117,C1_148.5,TLM,section,gsm_type_sec,sandy grainstone,,,-10.82417488,-15.64120865,21.99603367,6.184654925,147.1844376,2.026436714,9.319573068,0.426356353,9.199408615,38.59941208,2.259130385,0.754762235,0.535749561,0.202477161
2,CV118,C1_149.0,TLM,section,gsm_type_sec,sandy grainstone,,,-10.94159889,-15.43615055,41.70566656,13.77355811,188.1691061,3.519187519,16.22381073,0.149417606,9.993072347,40.86710782,3.616755466,0.778511469,1.123057911,0.267799448
2,CV119,C1_150.0,TLM,section,gsm_type_sec,sandy grainstone,,,-10.9717865,-15.2862587,37.08758205,6.098329087,291.9891358,4.031450547,15.72573159,0.375098923,11.77334727,67.61571643,3.82594176,0.758634491,0.611014169,0.23688086
