,index,member,thickness,lithology,facies,grade,features,sample_name,sample_height,sample_facies,sample_features,facies_simplified,sample_facies_simplified,trace_facies_simplified,sample_lith,trace_facies,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa,sample_height_scaled
0,Railway,CCK,3.3,limestone,siltstone[grainstone],,,C9_0.6,0.6,sandy green and pink crystalline limestone,,limestone-siltstone rhythmite,sandy limestone,,sandy ls,,-10.56091881,-15.53747749,,,,,,,,,,,,,-28.2
1,Railway,CCK,1.1,limestone,siltstone[grainstone],,,C9_1,1.0,ls cemented siltstone,,limestone-siltstone rhythmite,sandy limestone,,sandy ls,,-10.08662415,-15.83240509,,,,,,,,,,,,,-27.0
2,Railway,CCK,0.3,limestone,intraclast carbonate breccia,,ICT,C9_1.1,1.1,ls cemented siltstone,,intraclast carbonate breccia,sandy limestone,,sandy ls,,-10.09503746,-15.15735626,,,,,,,,,,,,,-26.7
3,Railway,CCK,1.2,siliciclastic,ls cemented siltstone,,,C9_2.4,2.4,ls cemented siltstone,,carbonate cemented siltstone,sandy limestone,,sandy ls,,-9.949508667,-14.85890007,,,,,,,,,,,,,-22.8
4,Railway,CCK,1.0,limestone,intraclast carbonate breccia,,ICT,C9_2.7,2.7,ls cemented siltstone,,intraclast carbonate breccia,sandy limestone,,sandy ls,,-10.45545769,-14.95701885,,,,,,,,,,,,,-21.9
5,Railway,CCK,0.7,siliciclastic,siltstone[grainstone],,,C9_2.9,2.9,sandy grainstone,,limestone-siltstone rhythmite,sandy limestone,,sandy ls,,-9.996433258,-15.09674072,,,,,,,,,,,,,-21.3
6,Railway,CCK,,,,,,C9_3.3,3.3,sandy grainstone,,,sandy limestone,,sandy ls,,-10.70009422,-15.25574207,,,,,,,,,,,,,-20.1
7,Railway,CCK,,,,,,C9_3.6,3.6,sandy grainstone,,,sandy limestone,,sandy ls,,-10.54367542,-14.67934418,,,,,,,,,,,,,-19.2
8,Railway,CCK,,,,,,C9_3.8,3.8,sandy grainstone,,,sandy limestone,,sandy ls,,-10.71326828,-15.94717216,,,,,,,,,,,,,-18.6
9,Railway,CCK,,,,,,C9_4,4.0,sandy grainstone,,,sandy limestone,,sandy ls,,-9.915685654,-14.85207176,,,,,,,,,,,,,-18.0
10,Railway,CCK,,,,,,C9_4.1,4.1,sandy grainstone,,,sandy limestone,,sandy ls,,-10.44573307,-15.16178226,,,,,,,,,,,,,-17.700000000000003
